Date,ADANIENT_Open,ADANIENT_High,ADANIENT_Low,ADANIENT_Close,ADANIENT_Volume
2023-11-16,2226,2232,2196,2205,1307584
2023-11-17,2205,2237,2201,2208,916518
2023-11-20,2211,2218,2142,2149,1577213
2023-11-21,2160,2232,2158,2196,1839502
2023-11-22,2205,2225,2153,2172,1247205
2023-11-23,2190,2190,2160,2175,729114
2023-11-24,2179,2251,2160,2225,1946259
2023-11-28,2301,2512,2275,2423,11972275
2023-11-29,2468,2477,2390,2396,4561574
2023-11-30,2400,2409,2343,2358,2983879
2023-12-01,2370,2403,2354,2362,1792983
2023-12-04,2549,2595,2487,2531,5681516
2023-12-05,2531,2999,2531,2959,22879079
2023-12-06,3080,3154,2844,2883,19355777
